A	এ
DEVGARH	দেভগড়
DEVI	দেবী
DEVIRANI	দেবীরানী
DEVKUMAR	দেবকুমার
DEVLALI	দেভলালি
DEVOLUTION	ডেভোলুশান
DEVON	ডেভোন
DEVPRAYAG	দেবপ্রয়াগ
DEVSAR	দেবসার
DEWALD	ডেওয়াল্ড
DEWALGAON	দেওয়ালগাঁও
DEWANGANJ	দেওয়ানগঞ্জ
DEWAS	দিওয়াস
DHADHRIA	ধাধরীয়া
DHADIAL	ধাদিয়াল
DHADVAIWALE	দাদভাইওয়ালে
DHAKURIA	ঢাকুরিয়া
DHALAI	ধলাই
DHALAIBIL	ধালাইবিল
DHALESHWARI	ঢলেশ্বরী
DHALGAON	ধালগাঁও
DHALIWAL	ধালিওয়াল
DHAMAN	ধামান
DHAMANGAON	ধামানগাঁও
DHAMDAHA	ধামডাহা
DHAMI	ধামি
DHAMIJA	ধামিজা
DHAMNAGAR	ধামনগর
DHAMNI	ধামনি
DHAMPUR	ধামপুর
DHAMTARI	ধামতেরি
DHAMUA	ধামুয়া
DHANABATI	ধনবতী
DHANAHARI	ধনহরি
DHANAKWADA	ধানকও্বাদা
DHANAULA	ধনৌলা
DHANAWALA	ধানাও্বালা
DHANBAHADUR	ধনবাহাদুর
DHANDAL	ধানডাল
DHANDARI	ধানদারি
DHANDHERA	ধানধেরা
DHANDHUKA	ধানধুকা
DHANERA	ধানেরা
DHANESHWAR	ধানেশ্বর
DHANESHWARI	ধনেশ্বরী
DHANESWAR	ধনেশ্বর
DHANETA	ধানেতা
DHANI	ধানি
DHANIBALA	ধনীবালা
DHANIRAM	ধনীরাম
DHANMANDAL	ধানমন্ডল
DHANMANI	ধনমনি
DHANOLTI	ধনোলটি
DHANSAD	ধনসাদ
DHANSING	ধনসিং
DHANU	ধানু
DHANUBALA	ধানুবালা
DHANUGOPAL	ধানুগোপাল
DHANUMATI	ধানুমতি
DHANURANI	ধানুরাণী
DHAR	ধর
DHARAMBALA	ধরমবালা
DHARAMBIR	ধরমবীর
DHARAMDAS	ধরমদাস
DHARAMDEO	ধরমদেও
DHARAMDEV	ধরমদেব
DHARAMJAIGARH	ধরমজয়গড়
DHARAMKOT	ধরমকোট
DHARAMNATH	ধরমনাথ
DHARAMPUR	ধরমপুর
DHARAMPURI	ধর্মপুরি
DHARAMRAJ	ধরমরাজ
DHARANGAON	ধারনগাঁও
DHARANI	ধরণী
DHARANIDHAR	ধরনীধর
DHARAP	ধারাপ
DHARAVI	ধারাভি
DHARCHULA	ধারচুলা
DHARESHWAR	ধারেশ্বর
DHARI	ধারি
DHARIWAL	ধরিয়াল
DHARMA	ধরমা
DHARMABALA	ধর্মবালা
DHARMADAS	ধর্মদাস
DHARMADASI	ধর্ম্মদাসী
DHARMADHIKARI	ধর্মাধিকারী
DHARMANAGAR	ধর্মনগর
DHARMANATH	ধর্মনাথ
DHARMANI	ধর্মানি
DHARMAPUR	ধর্মপুর
DHARMAPURI	ধর্মপুর
DHARMASENA	ধর্মসেনা
DHARMAVARAM	ধর্মভরম
DHARMENDAR	ধরমেন্দর
DHARMENDRA	ধর্মেন্দ্র
DHARNAODA	ধরনাওদা
DHARSHANA	ধরসন
DHARU	ধরু
DHASA	ধাসা
DHAUHANI	ধাউহানি
DHAULPUR	ধৌলপুর
DHAVLIKAR	দাভিলকার
DHAWAN	ধাওান
DHEENA	ধেনা
DHEER	ধীর
DHEERA	ধেরা
DHEKIAJILI	ধেকিয়াজিলি
DHEKNE	ধেকনে
DHEMAJI	ধেমাজি
DHENKANAL	ধেনকানাল
DHILLON	ধীলোন
DHINDA	ধিনদা
DHINDHORA	ধিনধোরা
DHINDSA	ধিন্দসা
DHING	ধিং
DHINGRA	ধীনগ্রা
DHINOJ	ধিনোজ
DHIRA	ধীরা
DHIRAJ	ধীরাজ
DHIRARANI	ধীরারানী
DHIRBALA	ধীরবালা
DHIREN	ধীরেন
DHIRENBALA	ধীরনবালা
DHIRENCHANDRA	ধীরেনচন্দ্র
DHIRENDAR	ধীরেন্দর
DHIRENKUMAR	ধীরেনকুমার
DHIRGANJ	ধিরগঁঞ্জ
DHOBARI	ধোবারি
DHOBLE	ধোবলে
DHODA	ধদা
DHODHAR	ধোদহার
DHOL	ঢোল
DHOLAI	ধোলাই
DHOLAK	ঢোলক
DHOLI	ধোলি
DHOLKA	ধোলকা
DHOLPUR	ঢোলপুর
DHONDI	ধোন্দি
DHORAJI	ধোজাজি
DHOT	ধোট
DHRANGDHRA	ধরাঙ্গধরা
DHRUBA	ধ্রুব
DHRUBACHARAN	ধ্রুবচরন
DHRUBALAL	ধ্রুবলাল
DHRUBANATH	ধ্রুবনাথ
DHUBRI	ধুবড়ি
DHUL	ধুল
DHULARANI	ধুলারানী
DHULKOT	ধূলকট
DHULURANI	ধুলুরানী
DHUMAKOT	ধুমাকোট
DHUNDHI	ধুন্ধি
DHUNI	ধুনী
DHUPGURI	ধূপগুরি
DHUPNARAYAN	ধুপনারাযন
DHURAIYA	ধুরাইয়া
DI	দি
DIABLO	ডায়াবলো
DIAMANTINA	ডায়মন্টিনা
DIAMONDS	ডায়মণ্ডস
DIAR	ডায়ার
DIAS	দিয়াস
DIBAKAR	দিবাকর
DIBARANI	দিবারানী
DIBRUGARH	ডিব্রুগড়
DICHPALLI	দিচপল্লি
DICK	ডিক
DICKIN	ডেকিন
DICKMAN	ডিকম্যান
DIDEROT	ডিদেরোট
DIDJERIDU	ডিডজেরিডু
DIDWANA	দিদওয়ানা
DIEGO	দিয়েগো
DIGAMBAR	দিগম্বর
DIGANTA	দিগন্ত
DIGBOI	দিগবই
DIGHE	দিঘে
DIGOD	দিগোদ
DIJALAL	দ্বিজলাল
DIL	দিল
DILAWARNAGAR	দীলায়ারনগর
DILBAR	দিলবর
DILDARNAGAR	দীলদারনগর
DILESWAR	দিলেশ্বর
DILHARA	দিলহারা
DILIP	দিলিপ
DILIPKUMAR	দিলীপকুমার
DILLEY	ডিল্লে
DILMAHAMMAD	দিলমহাম্মদ
DILOJARA	দিলওযারা
DILSHAN	দিলশান
DIMAPUR	ডিমাপুর
DIMITSANA	ডিমিটসানা
DIMPLE	ডিম্পল
DIN	দিন
DINAJPUR	দিনাজপুর
DINAKARAN	দিনাকারন
DINANATH	দীননাথ
DINBANDHU	দীনবন্ধু
DINDORI	দিন্দোরি
DINDRAL	দিন্দরাল
DINESH	দীনেশ
DINESHCHANDRA	দীনেশচন্দ্র
DINESHKUMAR	দিনেশকুমার
DINESHWAR	দীনেশ্বর
DINGANKAR	দিঙ্গানকার
DINGLI	ডিংলী
DINGWAHI	দিংওয়াহি
DINHOY	দিনহয়
DINUSHA	দিনেশ
DION	ডিওন
DIP	দীপ
DIPA	দিপা
DIPAK	দীপক
DIPAKKUMAR	দীপককুমার
DIPAKRANJAN	দীপকরঞ্জন
DIPALIRANI	দিপালীরাণী
DIPAN	দীপন
DIPANKAR	দীপঙ্কর
DIPARANI	দীপারানী
DIPCHAND	দীপচাঁন্দ
DIPENDRA	দীপেন্দ্র
DIPENDU	দীপেন্দু
DIPESH	দীপেশ
DIPHU	দিফু
DIPIKA	দিপীকা
DIPMALA	দীপমালা
DIPNARAYAN	দীপনারাযন
DIPPENAAR	ডিপেনার
DIPTI	দীপ্তী
DIPTIMAN	দীপ্তিমান
DIPTIRANI	দীপ্তিরানী
DIRAC	ডিরাক
DIRHAM	দিরহাম
DIRK	ডিরক
DISA	দিসা
DISABLED	ডিসাব্লেড
DISHMAN	ডিসম্যান
DISK	ডিস্ক
DISNEY	ডিজনি
DISPUR	দিসপুর
DISQUE	ডেস্কু
DISTRICT	ডিস্ট্রিক্ট
DIVAN	ডিভান
DIVINE	দিভিনি
DIVING	ডাইভিং
DIVISOR	ডিভিসর
DIVYA	দীভ্যা
DIWANKHAVATI	দিওয়ানখাভাতি
DIWEKAR	দিওয়েকার
DIX	ডিক্স
DIXIT	দীক্ষিত
DIYODAR	দিওদর
DJIBOUTI	জিবৌটি
DLINK	ডিলিঙ্ক
DNIEPER	নিয়েপের
DOBBELAAR	ডোবেলার
DOBH	ডোভ
DOBHAKOL	ডোভাকোল
DOBRO	ডুব্রো
DODBALLAPUR	ডোদবাল্লপুর
DODBELE	ডোদবিলি
DODDA	ডোডা
DODI	ডোডি
DOHARA	দোহারা
DOHOLLAH	ডোহোলাহ
DOHRIGHAT	দোহিঘাট
DOIWALA	দোইওয়ালা
DOLA	দোলা
DOLAN	দোলন
DOLL	ডল
DOLLY	ডলি
DOM	ডম
DOMBIVILI	দোমবিভিলি
DOMINGARH	দমিনগড়
DOMINGO	ডোমংগো
DOMINIC	ডোমিনি্ক
DOMINICAN	ডমিনিকান
DOMINION	ডোমিনিওন
DOMINO	ডোমিনো
DOMODEDOVO	ডোমোদেদোভো
DON	ডন
DONA	ডোনা
DONAKONDA	ডনাকোন্দা
DONALD	ডোনাল্ড
DONDAICHA	ডনদাইছা
DONELSON	ডোনেলসন
DONG	ডং
DONGARGAON	ডনগারগাঁঙ
DONGARGARH	ডনগারগড়
DONNANVIEW	ডোনানভিউ
DONNELLY	ডোনেলি
DOOR	ডোর
DOOT	দূত
DORAHA	ডোরাহা
DOREL	ডোরেল
DORNAKAL	ডরনাকাল
DOROTHY	ডোরোথ
DOS	দোস
DOSANJH	দোসাঁঝ
DOULATALI	দৌলতআলি
DOULATPUR	দৌলতপুর
DOULL	ডুল্ল
DOUST	ডোস্ট
DOVER	ডোভার
DOW	ডোও
DOWNTON	ডনটন
DOYEN	ডোয়েন
DOYLE	ডয়েল
DRAFTS	ড্রাফটস
DRAKES	ড্রাকেস
DRAMA	ড্রামা
DRAPER	ড্রাপার
DRAVID	দ্রাভিড
DRAWING	ড্রয়ং
DRAXIS	ড্রাক্সিস
DREADNOUGHT	ড্রেডনট
DREISER	ড্রেইসার
DRESCHER	ড্রেসার
DREW	ড্রিউ
DRIJHOEK	ড্রিজহক
DRIPPING	ড্রিপ্পিং
DRIVE	ড্রাইভ
DRONACHELLAM	ড্রোনাছিল্লাম
DROUPADI	দ্রোপদী
DRUM	ড্রুম
DRUMMOND	ড্রুমন্ড
DRUMS	ড্রুমস
DRYSHIPS	ড্রাইসিপস
DU	ডু
DUA	দোউআ
DUABA	দুউয়াবা
DUANE	দাউনি
DUAR	দুযার
DUBAHA	দুবাহা
DUBIA	দুবিআ
DUBULA	ডুবুলা
DUDDHINAGAR	দুদ্ধিনগর
DUDHANI	দুধানি
DUDHASWAR	দুধেশ্বরী
DUDHESHWAR	দুধেশ্বর
DUDHIA	দুধিযা
DUDHUBALA	দুধুবালা
DUDHWAKHARA	দুধয়াখারা
DUDUK	ডুডুক
DUERS	ডুয়েরস
DUESSELDORF	ডুসেলডর্ফ
DUFF	ডুফ
DUGANPUR	দুগানপুর
DUGDOL	দুগদল
DUGGAD	দুগ্গাদ
DUHITA	দুহিতা
DUJON	ডুজোন
DUKAKIS	ডুকাকিস
DUKARI	দুকড়ি
DUKE	ডিউক
DUKH	দুখ
DUKHI	দুখী
DUKHIBALA	দুখীবালা
DUKHUBALA	দুখুবালা
DULAL	দুলাল
DULALI	দুলালি
DULALIBIBI	দুলালীবিবি
DULALKANTI	দুলালকান্তি
DULALKRISHNA	দুলালকৃষ্ণ
DULALKUMAR	দুলালকুমার
DULARA	দুলারা
DULARANI	দুলারাণী
DULARI	দুলারী
DULCIMER	ডুল্কিমার
DULEEP	ডুলিপ
DULIAJAN	দুলিয়াজান
DULIBALA	দুলিবালা
DULLAHAPUR	দুল্লাহপুর
DULLEWAL	দুল্লিওয়াল
DULLO	দুল্লো
DULU	দুলু
DULURANI	দুলুরাণী
DUMARIYA	দমারিয়া
DUMAS	ডাম
DUMBARTON	ডাম্বারটন
DUMBEG	ডুম্বেগ
DUMHAL	ডুমহাল
DUMMERS	ডুমার্স
DUMRAON	দমরাঁও
DUNCAN	ডুক্যান
DUNDARA	দুনদারা
DUNDUN	ডুন্ডুন
DUNDWARA	দুন্দওয়ারা
DUNGAR	ডানগার
DUNGARPUR	দুনগাপুর
DUNIYARA	দুনিযারা
DURAFE	দুরাফে
DURBA	দূর্বা
DURBADAL	দুর্বাদল
DURBAN	ডারবান
DURG	দুর্গ
DURGA	দূর্গা
DURGABAL	দুর্গাবালা
DURGABATI	দুর্গাবতী
DURGABIBI	দুর্গাদেবী
DURGACHARAN	দূর্গাচরন
DURGADASI	দুর্গাদাসী
DURGAMOYE	দুর্গামযী
DURGANANDA	দুর্গানন্দ
DURGAPADA	দূর্গাপদ
DURGAPRASAD	দুর্গাপ্রসাদ
DURGAPUR	দুর্গাপুর
DURGAPURA	দূর্গাপুরা
DURGARANI	দুর্গারাণী
DURGAUTI	দূগাউতি
DURJADHAN	দূর্য়োধন
DURLABH	দুর্লভ
DURRANI	দুরানি
DUSKHEDA	দুসখেদা
DUTCH	ডাচ
DUTCHESS	ডাচেস
DVOYANKA	ডোভোয়াঙ্কা
DWARAKANATH	দ্বারকানাথ
DWARASINGH	দ্বারাসিং
DWARKA	দ্বারকা
DWARKAGANJ	দ্বরকাগঞ্জ
DWIJAPADA	দ্বিজপদ
DWIJEN	দ্বিজেন
DWIJU	দ্বিজু
DYANI	ডায়ানি
DYER	ডিএর
DYNAMICS	ডায়ানেমিক
DYSON	ডিসন
DYSPROSIUM	ডিসপ্রোসিয়াম
E	এ
EADS	ইয়াদস
EAGLE	এগ্লে
EALHAM	এলহ্যাম
EARTH	আর্থপৃথিবী
EAST	ইষ্ট
EASTERN	ইস্টার্ন
EASTLAND	ইস্টল্যান্ড
EBADULLA	এবাদুল্লা
EBRAHIM	এব্রাহিম
ECHO	একো
ECRINS	এক্রিন্স
ECUADOR	ইকুয়েডর
EDDIE	এডিল
EDDO	ইডো
EDGAR	ঈগার
EDGECOMBE	এজকম্বে
EDINBURG	এডিনবার্গ
EDINBURGH	এডেনবার্গ
EDMONDS	এডমোন্ডস
EDMONTON	এডমন্টোন
EDWARD	এডওয়ার্ড
EDWARDS	এডওয়ার্ড
EENADU	ইএনাডু
EFFINGHAM	এফিনগাম
EFFORD	এফোর্ড
EGMORE	এগমোড়
EGYPTIAN	ইজিপ্টিয়ান
EHSANUL	ঈসানুল
EIFEL	আইফেল
EINSTEIN	আইনস্টাইন
EISENHOWER	এইসেনহোওয়ের
EISNER	ইজনার
EKANGARSARAI	একানগারসারাই
EKESWAR	একেশ্বর
EKKRIBALA	এককড়িবালা
EKRAMUDDIN	এক্রামুদ্দিন
EKRAMULHOK	একরামুলহক
EL	এল
ELAHI	ইলাহি
ELAMANUR	এলামানুর
ELBIT	এলবিট
ELBURZ	এলবুর্জ
ELDER	এল্ডার
ELEC	ইলেক
ELECTIRC	ইলেকট্রিক
ELECTRO	ইলেক্ট্রো
ELECTROLUX	ইলেকট্রোলাক্স
ELECTRONIC	ইলেকট্রনিক
ELECTRONICA	ইলেক্ট্রোনিকা
ELECTRONICS	ইলেকট্রনিকস
ELEFTHERIOS	এলেফথেরিওস
ELENA	এলেনা
ELEPHANT	এলিফ্যান্ট
ELGI	এলগি
ELGON	এলগন
ELIAS	ইলিয়াস
ELIZABETH	এলিজাবেথ
ELK	এল্ক
ELKHART	এলখার্ট
ELKHORN	এল্কহর্ন
ELLENABAD	এল্লেনাবাদ
ELLESMERE	এলসমেয়ার
ELLICE	এলিস
ELLIOTT	এলিট
ELONG	ইলং
ELRON	এলরন
ELSASS	এলসাস
ELSON	এলসন
ELTEK	এলটেক
ELTON	এল্টোন
ELWORTHY	এলওরথি
ELXSI	ইলেক্সি
EMAEL	ইমেল
EMAJUDDIN	এমাজদ্দিন
EMANUELE	ইমানুয়েল
EMDADULHOK	এমদাদুলহক
EMERALD	এমারেল্ড
EMERSON	ইমারসন
EMILY	এমিলি
EMINENT	এমিনেন্ট
EMMY	ঈমি
EMRE	এমরি
ENAKSHI	এনাক্ষী
ENAMUL	ঈনামুল
ENCANA	এনকান
ENDEAVOUR	এন্ডিয়েভার
ENDESA	এনডেস
ENGINE	ইঞ্জিন
ENGINES	ইঞ্জিনস
ENGLAND	ইংল্যান্ড
ENGLISH	ইংলিশ
ENGRAVINGS	ইনগ্রাভিঙ্গস
ENSO	এনসো
ENTER	এন্টার
ENTERPRISES	এন্টারপ্রাইসেস
ENTERTAINMENT	এন্টারটেইনমেন্ট
ENVIRONEMENT	এনভারমেন্ট
ENVOY	এনভয়
EPIRUS	ইপিরুস
EPISCOPAL	এপিসকোপাল
EPSON	এপসন
EQUINOX	ইকুইনোক্স
EQUIPMENTS	ইকুইপমেন্টস
ERASMUS	ইরাস্মুস
EREBUS	এরেবাস
ERHARD	এরহার্ড
ERHU	ইরহু
ERIE	ইরিক
ERIN	এরিন
ERNAKULAM	এরনাকুলাম
ERNESETTLE	আরনেস্টলি
ERNEST	আর্নেষ্ট
ERNST	আর্নস্ট
ERODE	এরোদি
ERROL	এরোল
ERTBRAND	আর্টব্রান্ড
ERZHERZOG	আর্ঝারযোগ
ESAB	ইসাব
ESCORTS	এসকর্টস
ESHA	এষা
ESKALIS	এসকালিস
ESSEL	এসেল
ESSER	ঈসার
ESSEX	এসেক্স
ESTABLISHMENT	এস্টাব্লিশম্যান্ট
ESTER	ঈস্টার
ESTES	এস্টেস
ESTONIAN	এস্টোনিয়ান
ESTRELLA	এস্ট্রেলা
ETA	এটা
ETAH	এতাহ
ETALAN	ঈটাল্যান
ETAWAH	এটাহ
ETHAN	ইথান
ETHIOPIA	ইথিওপিয়া
ETHIOPIAN	ইথিওপিয়ান
ETHNOLOGY	ইথনোলোজি
ETIMONBIBI	এতিমনবিবি
ETNA	এতনা
EUDORA	ইউডোরা
EUGEN	ইউজেন
EURIS	ইউরিস
EUROHYPO	ইউরোহাইপো
EUROPA	ইউরোপ
EUROPE	ইউরোপ
EUROPEAN	ইউরোপিয়ান
EUROPIUM	উইরোপিয়াম
EUROTRUST	ইউরোট্রাস্ট
EVAN	ইভান
EVANGEL	ইভাঞ্জেল
EVANGELICAL	ইভানজিলিকাল
EVANGELIST	ইভাঞ্জিলিস্ট
EVANSTON	ইভানস্টোন
EVEREADY	এভারেডি
EVEREST	এভারেস্ট
EVERGREEN	এভারগ্রীন
EVERTON	ইভারটোন
EWEN	ইয়েন
EWING	ঈউইঙ্ক
EXCALIBUR	এক্সক্যালিবার
EXCEL	এক্সেল
EXCELLENT	এক্সিলেন্ট
EXCELSIOR	এক্সসেলসিওর
EXCEPTIONAL	এক্সসেপশানাল
EXELON	এক্সেলন
EXFO	এক্সফো
EXIDE	এক্সাইড
EXMOUTH	এক্সমাউথ
EXPLOR	এক্সপ্লোর
EXPORTS	এক্সপোর্টস
EXPRESS	এক্সপ্রেস
EXUPERY	এক্সুপেরি
